InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
567197,22727,ALARM CLOCK BAKELIKE RED ,12,9/19/2011 10:10,3.75,14934,Channel Islands
555477,21906,PHARMACIE FIRST AID TIN,4,6/3/2011 12:26,6.75,12359,Cyprus
573365,21843,RED RETROSPOT CAKE STAND,1,10/30/2011 13:13,10.95,12584,Italy
542535,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,1/28/2011 13:37,4.95,12735,France
572035,21731,RED TOADSTOOL LED NIGHT LIGHT,288,10/20/2011 12:03,1.45,14646,Netherlands
540946,22656,VINTAGE BLUE KITCHEN CABINET,1,1/12/2011 12:43,125,12359,Cyprus
571065,23493,VINTAGE DOILY TRAVEL SEWING KIT,10,10/13/2011 14:59,1.95,12613,Germany
536370,22726,ALARM CLOCK BAKELIKE GREEN,12,12/1/2010 8:45,3.75,12583,France
546252,22796,PHOTO FRAME 3 CLASSIC HANGING,4,3/10/2011 14:42,9.95,14930,Channel Islands
560451,22981,PANTRY APPLE CORER,12,7/19/2011 9:50,1.45,14911,EIRE
564539,22381,TOY TIDY PINK POLKADOT,5,8/25/2011 15:22,2.1,12715,Sweden
557621,22624,IVORY KITCHEN SCALES,4,6/21/2011 14:00,8.5,12444,Norway
544996,22814,CARD PARTY GAMES ,12,2/25/2011 11:53,0.42,12474,Germany
564638,22138,BAKING SET 9 PIECE RETROSPOT ,3,8/26/2011 12:54,4.95,13812,Germany
563100,22955,36 FOIL STAR CAKE CASES ,6,8/12/2011 9:57,2.1,12381,Norway
540463,85206A,CREAM FELT EASTER EGG BASKET,6,1/7/2011 13:13,1.65,12489,France
559948,22629,SPACEBOY LUNCH BOX ,12,7/14/2011 10:41,1.95,12653,Israel
541631,21987,PACK OF 6 SKULL PAPER CUPS,12,1/20/2011 10:48,0.65,12637,France
541518,22474,SPACEBOY TV DINNER TRAY,3,1/19/2011 9:05,4.95,12451,Switzerland
547194,21154,RED RETROSPOT OVEN GLOVE ,2,3/21/2011 12:42,1.25,12637,France
547194,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,3/21/2011 12:42,2.95,12637,France
541932,22760,"TRAY, BREAKFAST IN BED",6,1/24/2011 11:39,10.95,14439,Greece
561388,23244,ROUND STORAGE TIN VINTAGE LEAF,48,7/27/2011 9:32,1.65,12753,Japan
544069,22628,PICNIC BOXES SET OF 3 RETROSPOT ,4,2/15/2011 14:17,4.95,12616,France
559907,23284,DOORMAT KEEP CALM AND COME IN,2,7/13/2011 13:37,7.95,12766,Portugal
