goodForGroups,city,state,latitude,longitude,stars,reviewCount,checkins,open,alcohol,noiseLevel,attire,priceRange,delivery,waiterService,smoking,outdoorSeating,caters,goodForKids
1,Mesa,AZ,33.3312297,-111.642224,4,7,10,TRUE,none,,casual,1,FALSE,,,TRUE,TRUE,
0,Madison,WI,43.0546236,-89.4508969,4,13,37,TRUE,none,,,1,,,,,,
0,Pittsburgh,PA,40.4622053,-79.9502895,5,3,13,TRUE,none,,,2,,,,,,
1,Chandler,AZ,33.3192377,-111.9294836,3,9,12,TRUE,none,average,casual,2,TRUE,,,FALSE,,
1,Montral,QC,45.595709,-73.5808557,3.5,9,10,TRUE,beer_and_wine,average,casual,2,FALSE,TRUE,,FALSE,TRUE,
1,Las Vegas,NV,36.16621435,-115.0619736,4,31,182,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,,FALSE,TRUE,
1,Las Vegas,NV,36.1588681,-115.137619,4,21,81,TRUE,none,average,casual,1,TRUE,TRUE,yes,FALSE,TRUE,
1,Castle Shannon,PA,40.3690921,-80.0352804,4.5,5,3,TRUE,none,,casual,1,TRUE,FALSE,,TRUE,TRUE,
1,Charlotte,NC,35.13556368,-80.73800246,5,24,47,FALSE,none,quiet,casual,1,FALSE,FALSE,,FALSE,TRUE,
1,Montral,QC,45.50774778,-73.56041988,3,23,19,TRUE,beer_and_wine,quiet,casual,2,FALSE,,,FALSE,FALSE,
0,Montral,QC,45.5358542,-73.6166815,4,4,4,TRUE,none,,,1,,TRUE,,,,
0,Phoenix,AZ,33.538175,-112.135837,4,9,26,TRUE,none,,,1,FALSE,,,,,
1,Henderson,NV,35.9904395,-115.1015688,4,44,172,TRUE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,TRUE,
1,Wickenburg,AZ,33.9695519,-112.7284778,4.5,15,68,TRUE,none,quiet,casual,1,TRUE,TRUE,,TRUE,FALSE,
1,Charlotte,NC,35.32458209,-80.94645292,2,33,79,FALSE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,TRUE,
1,Montreal,QC,45.5187123,-73.5731043,4,6,8,TRUE,none,,,1,,,,,,
0,Cave Creek,AZ,33.797531,-111.976648,3.5,9,101,TRUE,none,,,1,,,,,,
1,Avondale,AZ,33.4647049,-112.2797132,3,37,103,TRUE,none,loud,casual,1,FALSE,,,TRUE,TRUE,
1,Charlotte,NC,35.088455,-80.845816,3.5,5,9,TRUE,none,,casual,1,FALSE,,,TRUE,,
0,Las Vegas,NV,36.1220548,-115.1385619,2,22,204,TRUE,none,,,2,FALSE,,,,,
0,Avondale,AZ,33.46633213,-112.2799137,3,5,5,TRUE,none,,casual,1,FALSE,,,,,
0,Edinburgh,EDH,55.92986836,-3.20925109,4.5,13,149,TRUE,none,,,2,,,,,,
0,Madison,WI,43.130374,-89.30337,2,11,34,TRUE,beer_and_wine,,casual,2,FALSE,,,TRUE,,
0,Phoenix,AZ,33.6420433,-112.0472689,4.5,28,105,TRUE,none,,casual,1,TRUE,,,TRUE,,
0,Las Vegas,NV,36.1886225,-115.1570995,3.5,3,6,TRUE,none,,,,TRUE,,,,TRUE,
0,Phoenix,AZ,33.304808,-111.977712,4,56,155,TRUE,none,,,1,,,,,,
1,Las Vegas,NV,36.06513,-115.119046,4,11,38,FALSE,none,quiet,casual,1,FALSE,TRUE,,FALSE,,
0,Maricopa,AZ,33.0583686,-112.048217,4,6,6,TRUE,none,average,,1,,FALSE,,FALSE,,
1,Champaign,IL,40.0957307,-88.245794,2.5,9,24,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,TRUE,
1,Phoenix,AZ,33.51042,-112.065343,3.5,16,76,TRUE,none,quiet,casual,1,FALSE,FALSE,,TRUE,FALSE,
1,San Tan Valley,AZ,33.2470852,-111.5626704,1.5,12,44,TRUE,none,,dressy,4,FALSE,,,,,
1,Montreal,QC,45.5010748,-73.5750836,4.5,11,11,TRUE,full_bar,quiet,dressy,3,FALSE,,,TRUE,,
1,Montreal,QC,45.5109204,-73.5630389,3.5,45,67,TRUE,full_bar,very_loud,,1,,,outdoor,TRUE,,
0,Montral,QC,45.5134974,-73.5663532,4.5,9,14,TRUE,none,average,casual,3,FALSE,FALSE,,FALSE,,
1,Charlotte,NC,35.211405,-80.761207,4,68,164,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,,FALSE,FALSE,TRUE
1,Goodyear,AZ,33.4862472,-112.372066,3.5,23,22,TRUE,beer_and_wine,quiet,casual,1,FALSE,TRUE,,FALSE,,
1,Phoenix,AZ,33.578121,-112.118043,3,9,5,FALSE,full_bar,average,casual,2,FALSE,FALSE,,TRUE,,
0,Las Vegas,NV,36.2811,-115.3036,3,9,5,FALSE,none,,,1,,,,,,
1,Tempe,AZ,33.393828,-111.974154,5,4,12,TRUE,none,quiet,casual,1,FALSE,FALSE,,TRUE,TRUE,
1,Windsor,WI,43.19553,-89.344187,3.5,8,21,TRUE,none,quiet,casual,1,FALSE,,,TRUE,FALSE,
1,Las Vegas,NV,36.1142792,-115.1616862,4,7,3,TRUE,full_bar,average,,2,,FALSE,outdoor,TRUE,,
1,Dollard-des-Ormeaux,QC,45.50456567,-73.81806201,3.5,4,7,TRUE,none,quiet,casual,1,FALSE,FALSE,,FALSE,,
0,Montreal,QC,45.5058116,-73.5702234,3,6,15,TRUE,none,,,2,,,,,,
0,Montral,QC,45.523371,-73.5935459,5,7,17,TRUE,none,,,2,FALSE,,,,,
